timestamp,endpoint,topic,cache_status,latency_ms,success,status_code,error,concurrency
1783097674.4398055,analyze,business,MISS,1573.9079830236733,True,200.0,,3
1783097674.4399595,analyze,world,MISS,1574.3394059827551,True,200.0,,3
1783097674.9137235,analyze,business,MISS,1498.4495230019093,True,200.0,,3
1783097675.9798555,analyze,sci_tech,MISS,1539.4710749969818,True,200.0,,3
1783097675.9814162,analyze,world,MISS,1541.420964000281,True,200.0,,3
1783097676.5198982,analyze,sci_tech,MISS,1606.1108639987651,True,200.0,,3
1783097677.6139414,analyze,sci_tech,MISS,1634.0512770111673,True,200.0,,3
1783097677.6140268,analyze,business,MISS,1632.5884360121563,True,200.0,,3
1783097677.7530465,analyze,business,HIT,1233.0924019915983,True,200.0,,3
1783097678.4329038,analyze,world,MISS,818.6021739966236,True,200.0,,3
1783097679.431011,analyze,world,MISS,1677.9122349980753,True,200.0,,3
1783097679.4322555,analyze,world,MISS,1818.196723004803,True,200.0,,3
1783097680.0337064,analyze,sports,MISS,1600.7582290039863,True,200.0,,3
1783097681.0574644,analyze,world,MISS,1625.0805739837233,True,200.0,,3
1783097681.0584748,analyze,world,MISS,1627.400757977739,True,200.0,,3
1783097681.6071877,analyze,world,MISS,1573.443392990157,True,200.0,,3
1783097682.6318803,analyze,sports,MISS,1573.2877479749732,True,200.0,,3
1783097682.6320324,analyze,business,MISS,1574.512120016152,True,200.0,,3
1783097683.110382,analyze,business,MISS,1503.154281002935,True,200.0,,3
